
n = 252329328
Bloom-8[k=6], 22677364691, 22427673033, 22311449059, 22574385656, 22177804808, 22452408603, 22846196315, 22822298361, 22347223604, 
Bloom-12[k=8], 31532143094, 31041523682, 31049526506, 31277157869, 31181528038, 31148419757, 31065939440, 31239645216, 31222450655, 
Bloom-16[k=11], 45030429129, 44344666944, 44310847154, 44547962313, 44676684612, 44663725630, 44083226414, 44795433431, 44675232233, 
CF-8, 44589338805, 43958220635, 43930586933, 43584639307, 44510198725, 43954512959, 44339766013, 43994297005, 44294838939, 
CF-12, 46484387948, 45311719415, 45409364553, 44931303968, 46351057516, 45488122328, 46339183612, 45631703962, 45595127057, 
CF-8-Flex, 43911463441, 43713605418, 43676575185, 43033202507, 43852929806, 43700792277, 44121872437, 43600660830, 43950009221, 
CF-12-Flex, 45752914603, 46175938720, 45571251571, 44894298245, 46398155577, 45863644495, 46461636611, 45608629309, 46395930064, 
TC, 37066994830, 36492601266, 36684392488, 35660096439, 36393212578, 36812221981, 37496402401, 36374031133, 36340380304, 
PF[BBF_Fixed], 41030965094, 41015813854, 40664110721, 39904822414, 40354159519, 41033952726, 40791791057, 40426679989, 40767852678, 
PF[CF12-Flex], 41691648299, 41405565708, 41579097266, 40647179147, 41270698948, 41467468102, 41311888523, 41064712035, 40814514671, 
PF[TC], 44127771586, 43939437244, 44722443186, 43054130534, 43631253056, 44057770108, 44080579092, 43854456856, 42884929540, 
BBF, 6553737113, 6558463175, 6735259529, 6503579203, 6667794206, 6722683172, 6700745723, 6560062181, 6494890696, 
BBF_Fixed, 6780616115, 6804530989, 7018657122, 6673652507, 6860643653, 6950131866, 7032243629, 6772469481, 6715945576, 
